"","northCoast","taitStreet","feltonDiversions","newellInflow","newellUsed","date"
"83",13.8992116121424,99.5315477633306,0,5.86416925524919,56.6524449565663,2014-11-01
"84",28.5703981131102,54.6965344436324,0,52.5901214733033,67.3859750202341,2014-12-01
"611",10.0489685297488,150.529555062688,0,0,5.80002296271596,2015-01-01
"621",27.8059050335841,99.783920781309,0,35.3139321527974,38.5001524249249,2015-02-01
"631",8.80036019488412,121.821066199002,0,12.3006762268763,19.6000775981436,2015-03-01
"641",0,142.598814690949,0,3.90856766546371,0.900003563180062,2015-04-01
"651",15.0057746973018,164.40667568922,0,0,0.200000791817792,2015-05-01
"661",11.1452294489121,168.879545629031,0,0,8.80003483998283,2015-06-01
"671",10.6020787549604,139.408678120671,0,0,40.6001607390117,2015-07-01
"681",12.0513395839647,108.002623987873,0,0,59.0002335862485,2015-08-01
"691",15.144222689752,97.337256480431,0,0,45.100178554912,2015-09-01
"701",15.6180856353193,120.218297049927,0,0,41.4001639062829,2015-10-01
"711",17.3548608630591,102.28318790554,0,0,23.4000926426816,2015-11-01
"721",34.5872357763047,19.36397251896,38.1001508412893,180.374699968445,34.500136588569,2015-12-01
"731",31.3302936195529,119.35398440767,0.573497659746673,0,0.153149943227805,2016-01-01
"741",0,112.230248854197,18.6419324511973,107.429995423442,0,2016-02-01
"751",0,130.952325264073,9.46922840468087,60.3015016724852,0.290007339303716,2016-03-01
"761",0,144.936922289114,0.0358436037341671,0,4.71506314575816,2016-04-01
"771",14.3019366603399,148.277523234203,0,0,0.234612678987275,2016-05-01
"781",10.7004429116654,160.431518963961,0,0,0.980811338544027,2016-06-01
"791",9.30682125638479,95.3252196782254,53.0517920359977,0,1.23823358354395,2016-07-01
"801",11.8265024332686,61.4329847617284,1.17175999116423,0,92.8512262186446,2016-08-01
"811",12.5683709850376,41.7803777890184,0,0,99.5018439660478,2016-09-01
"821",13.3208364869023,58.7295642505189,0,0,107.322266598957,2016-10-01
"831",13.8992116121424,99.5315477633306,0,5.86416925524919,56.6524449565663,2016-11-01
"841",28.5703981131102,54.6965344436324,0,52.5901214733033,67.3859750202341,2016-12-01
"110",52.3499999969044,166.299999982078,0,0,4.23606225949247,2017-01-01
"210",65.6299999910391,89.5799999990224,29.8399999986966,383.526559955588,13.6857396075911,2017-02-01
"310",124.2499999855,86.6899999946235,41.2799999973932,199.420777139184,0,2017-03-01
"49",92.409999986803,163.220000007495,0,0,0,2017-04-01
"51",87.570000010916,183.310000005377,0,0,0,2017-05-01
"610",73.6700000125453,213.910000002118,0,0,0,2017-06-01
"710",64.8099999900616,233.009999990713,0,0,0,2017-07-01
"85",56.2700000092868,229.669999996904,0,0,21.1803112974624,2017-08-01
"91",37.369999997882,224.409999993972,0,0,25.7422244999927,2017-09-01
"101",49.1500000001629,162.280000000652,0,123.17165646832,31.2816905316367,2017-10-01
"111",55.2699999995112,166,0,0,1.30340377215153,2017-11-01
"121",57.7799999983708,119.429999991691,0,41.3830697658111,35.5177527911292,2017-12-01
"131",67.6802675552318,101.650000015478,0,240.152145018919,42.3606225949247,2018-01-01
"141",103.030407509026,40.4599999964156,0,64.8443376645386,49.5293433417582,2018-02-01
"151",146.610580046123,58.9000000114048,0,15.9666962088562,34.2143490189777,2018-03-01
"161",145.920577314352,47.7199999993483,0,0,27.69733015822,2018-04-01
"171",137.740544929004,108.06000000945,0,18.5735037531593,32.5850943037883,2018-05-01
"181",113.990450900641,199.013000002591,0,0,12.0564848924017,2018-06-01
"191",96.3203809435395,220.280000000652,0,0,8.79797546202283,2018-07-01
"201",78.5603106301196,219.130000009613,0,0,9.77552829113648,2018-08-01
"211",64.8302562718283,188.103000016765,0,0,46.2708339113793,2018-09-01
"221",58.060229468796,152.689999997882,0,1.30340377215153,49.2034923987203,2018-10-01
"231",72.100285054405,79.199999993483,0,23.7871188417654,54.7429584303643,2018-11-01
"241",82.8403275750204,53.3399999938088,0,313.468607202443,64.5184867215008,2018-12-01
